gradient,N,sigma,rho,success,train_error,train_error_fit,validation_error,time_exec(s),nfev,nit,njev
None,15,0.6,1e-05,True,10.214555491515558,0.005998941984921257,0.006513789971565726,28.884205102920532,160084,2471,2582
Grad,15,0.6,1e-05,True,10.214555491515558,0.014013299789093792,0.035366363289338246,2.115157127380371,1595,1520,1595
None,15,0.6,5e-05,True,2.001979777399404,0.023197465529375398,0.024630010604260347,17.55563998222351,98704,1526,1592
Grad,15,0.6,5e-05,True,2.001979777399404,0.023335094607964905,0.02476425799918508,1.474259853363037,1130,1111,1130
None,15,0.6,0.0001,True,3.2327581148795277,0.0394866890045971,0.04292115112720678,9.222870111465454,51088,798,824
Grad,15,0.6,0.0001,True,3.2327581148795277,0.03948670830828117,0.04291525034112086,1.251164197921753,936,910,936
None,15,0.6,0.0005,True,1.3593119339191797,0.09899660622376336,0.09769736748041546,6.183069229125977,40238,630,649
Grad,15,0.6,0.0005,True,1.3593119339191797,0.09899658403464986,0.09770182493018802,0.9403426647186279,845,816,845
None,15,0.6,0.001,True,2.4040314038766826,0.14685810227231877,0.13909542633579292,5.053221225738525,32984,515,532
Grad,15,0.6,0.001,True,2.4040314038766826,0.14685821602298682,0.1390936031120059,0.5854527950286865,525,513,525
None,15,0.8,1e-05,True,1.0300038487677425,0.0041878178782599786,0.004415491234164252,23.604584217071533,154876,2390,2498
Grad,15,0.8,1e-05,True,1.0300038487677425,0.004351238019698073,0.004545803553337953,1.5825309753417969,1399,1360,1399
None,15,0.8,5e-05,True,3.5605193353916578,0.017092076522896106,0.018093020962040393,16.451203107833862,108004,1686,1742
Grad,15,0.8,5e-05,True,3.5605193353916578,0.017092011751030603,0.018093388448944994,2.32576322555542,1724,1671,1724
None,15,0.8,0.0001,True,6.427739504673786,0.03586885430247419,0.03755776704502648,6.706172227859497,43276,680,698
Grad,15,0.8,0.0001,True,6.427739504673786,0.035868941146555214,0.03756606608502758,0.8309686183929443,743,727,743
None,15,0.8,0.0005,True,3.274893259212649,0.08249782771912231,0.08552705828550308,4.885038137435913,31930,513,515
Grad,15,0.8,0.0005,True,3.274893259212649,0.08245760537720187,0.08494455646600432,0.6271789073944092,565,556,565
None,15,0.8,0.001,True,13.171087470109363,0.13061526509421784,0.12375198031574047,5.707601070404053,37510,588,605
Grad,15,0.8,0.001,True,13.171087470109363,0.13061627332105097,0.12375648161909106,0.575164794921875,517,505,517
None,15,1.0,1e-05,True,2.7826843917932025,0.0032417310529439477,0.003408946695582768,11.598140954971313,75268,1177,1214
Grad,15,1.0,1e-05,True,2.7826843917932025,0.003241598544572616,0.0034097066496793296,1.3761930465698242,1230,1190,1230
None,15,1.0,5e-05,True,16.51257189140062,0.013342890777758368,0.014100492964984208,17.335822105407715,113398,1762,1829
Grad,15,1.0,5e-05,True,16.51257189140062,0.013343169614002474,0.014099091769483447,2.5148680210113525,2243,2176,2243
None,15,1.0,0.0001,True,14.745857298632627,0.024869838587357224,0.025136125386138634,8.18103313446045,52824,829,852
Grad,15,1.0,0.0001,True,14.745857298632627,0.024869833332623704,0.025134360051846414,0.9694631099700928,837,820,837
None,15,1.0,0.0005,True,2.1634619592734734,0.07120107816091487,0.07377822840530575,4.605633020401001,29946,477,483
Grad,15,1.0,0.0005,True,2.1634619592734734,0.07120050868205989,0.07376443686289302,0.5468993186950684,486,479,486
None,15,1.0,0.001,True,2.7366471924771467,0.1047876846444428,0.10507959174211505,5.006287097930908,32798,522,529
Grad,15,1.0,0.001,True,2.7366471924771467,0.10478780597482792,0.10508140156095636,0.5946779251098633,508,500,508
None,15,1.2,1e-05,True,8.94050145209128,0.002598468191295321,0.0027566866365805057,18.440428018569946,119784,1861,1932
Grad,15,1.2,1e-05,True,8.94050145209128,0.0025933923579982603,0.002843119146507171,2.37465500831604,2003,1931,2003
None,15,1.2,5e-05,True,2.6344119447486953,0.01085093710511873,0.011478435767846091,14.667492151260376,90582,1410,1461
Grad,15,1.2,5e-05,True,2.6344119447486953,0.010906671488478285,0.011488635631495193,2.1966652870178223,1906,1840,1906
None,15,1.2,0.0001,True,1.414700134921328,0.019631967029905918,0.020931914745893246,38.19563698768616,105338,1628,1699
Grad,15,1.2,0.0001,True,1.414700134921328,0.019631712350494938,0.02093197410245161,1.639237880706787,1462,1397,1462
None,15,1.2,0.0005,True,4.466525085784778,0.06367538511157793,0.06619681829912336,4.669668912887573,29202,462,471
Grad,15,1.2,0.0005,True,4.466525085784778,0.06367442562022663,0.06633270328948324,0.6131360530853271,506,499,506
None,15,1.2,0.001,True,5.200344175972003,0.08967319556210233,0.08862371708303549,4.5467209815979,28644,460,462
Grad,15,1.2,0.001,True,5.200344175972003,0.0896732243221289,0.08863346936430747,0.5109639167785645,453,449,453
None,15,2.0,1e-05,True,5.4645213323666555,0.0014934699989278663,0.0016132547119750136,23.745288848876953,153636,2385,2478
Grad,15,2.0,1e-05,True,5.4645213323666555,0.0014984981790654177,0.001576813116326736,2.1839499473571777,1939,1862,1939
None,15,2.0,5e-05,True,20.088333449119112,0.01464978888458866,0.02008600095454827,7.540067672729492,48546,770,783
Grad,15,2.0,5e-05,True,20.088333449119112,0.014649763500933168,0.02006717091936627,0.9179949760437012,818,792,818
None,15,2.0,0.0001,True,5.467553120031789,0.011841523151432748,0.012712282064457327,12.952280044555664,84196,1310,1358
Grad,15,2.0,0.0001,True,5.467553120031789,0.011841526932022676,0.01271209255461602,1.6496610641479492,1466,1424,1466
None,15,2.0,0.0005,True,2.237997840195766,0.04787377116156109,0.04832723073425884,4.93333625793457,31868,502,514
Grad,15,2.0,0.0005,True,2.237997840195766,0.04787372528946846,0.04833116469473513,0.6200618743896484,549,536,549
None,15,2.0,0.001,True,7.685961853724328,0.06847513764215002,0.0694304741893046,4.6104021072387695,29326,466,473
Grad,15,2.0,0.001,True,7.685961853724328,0.06847517896494743,0.06941755277964215,0.5523800849914551,468,461,468
