gradient,K,N,sigma,rho,success,train_error,train_error_fit,validation_error,time_exec(s),nfev,nit,njev
Grad,5,5,1.2,0.0005,True,540.1744638911413,0.12029269414880836,0.13965886535602273,0.1353224277496338,125,119,125
Grad,5,5,1.2,0.001,True,236.58608346961606,0.1250343540365026,0.1466120775516215,0.11126351356506348,97,94,97
Grad,5,5,1.5,1e-05,True,453.112263349944,0.11550561994138289,0.13602089629037287,0.3529942989349365,335,315,335
Grad,5,5,1.5,5e-05,True,363.0202393653582,0.14010287159597828,0.16232280826176732,0.13588471412658693,163,158,163
Grad,5,5,1.5,0.0001,True,341.50200874935416,0.11934981055147915,0.13463021020963267,0.14808263778686523,134,129,134
Grad,5,5,1.5,0.0005,True,320.5313598233201,0.1311435265815316,0.14912514465622384,0.11646356582641601,104,98,104
Grad,5,5,1.5,0.001,True,313.83949984403955,0.1358679907955737,0.15246733672938967,0.13157176971435547,120,117,120
Grad,5,5,1.8,1e-05,True,291.676381288856,0.1341603379062936,0.15342592691482765,0.2760634899139404,243,229,243
Grad,5,5,1.8,5e-05,True,300.6932415261921,0.13201487834228187,0.14713517581480756,0.17141895294189452,155,147,155
Grad,5,5,1.8,0.0001,True,713.56565295059,0.13411602562172126,0.1500265925015885,0.15593085289001465,148,143,148
Grad,5,5,1.8,0.0005,True,701.7685045203027,0.14204841463229445,0.15878762818297298,0.14425153732299806,120,117,120
Grad,5,5,1.8,0.001,True,240.98118993408323,0.16943575405614553,0.18574903746845436,0.10328087806701661,93,91,93
Grad,5,15,0.2,1e-05,True,342.93839230083137,0.4077369465325922,0.9580673230869678,1.2892703056335448,595,482,595
Grad,5,15,0.2,5e-05,True,365.60881565746865,0.4882705526939537,0.8838837461316962,0.8291007995605468,492,435,492
Grad,5,15,0.2,0.0001,True,339.940092067571,0.3644636170623606,0.7797289500817522,0.7212727546691895,420,369,420
Grad,5,15,0.2,0.0005,True,339.68217979426635,0.5416801342426179,0.8353387842129741,0.37280707359313964,203,192,203
Grad,5,15,0.2,0.001,True,376.1969248294459,0.5791647915797978,0.8168374004672347,0.41730241775512694,223,210,223
Grad,5,15,0.4,1e-05,True,352.49288423417204,0.026064332575726108,0.08511389260833613,0.9001885890960694,475,429,475
Grad,5,15,0.4,5e-05,True,338.69113456670425,0.033370646913836476,0.08082124161304598,1.1087242603302,406,390,406
Grad,5,15,0.4,0.0001,True,422.0355766911092,0.033530173102963544,0.07185404748751015,0.7733283996582031,430,404,430
Grad,5,15,0.4,0.0005,True,462.2236972562989,0.04555208078939412,0.09218935852409717,0.454197359085083,255,246,255
Grad,5,15,0.4,0.001,True,310.61730597355216,0.05630172965147244,0.10479271291164904,0.38951520919799804,216,209,216
Grad,5,15,0.6,1e-05,True,734.285757195548,0.007454880142364793,0.01703495881405113,1.2947755336761475,725,695,725
Grad,5,15,0.6,5e-05,True,352.0630603314638,0.011781945371483808,0.026806842928760666,0.7035123825073242,371,361,371
Grad,5,15,0.6,0.0001,True,318.41089359182826,0.019330904219198593,0.05642972154676136,0.5704424381256104,281,278,281
Grad,5,15,0.6,0.0005,True,389.9747949014596,0.038705161256268786,0.0690040556288126,0.3646101951599121,190,189,190
Grad,5,15,0.6,0.001,True,388.30666721203687,0.045790204935027036,0.08400187859991493,0.40764989852905276,209,206,209
Grad,5,15,0.8,1e-05,True,593.1826550744703,0.013041112300935876,0.028745536546471395,0.982106351852417,515,503,515
Grad,5,15,0.8,5e-05,True,300.3444329036025,0.026217389285709457,0.04192207525340935,0.8201779842376709,421,415,421
Grad,5,15,0.8,0.0001,True,430.2739030138319,0.02210319396228954,0.039430529056778164,0.5167817592620849,276,273,276
Grad,5,15,0.8,0.0005,True,654.771144649047,0.044456210291837495,0.07272052401240485,0.5501396179199218,288,286,288
Grad,5,15,0.8,0.001,True,703.1230805665688,0.06392789052887562,0.09608810262984815,0.45710248947143556,240,238,240
Grad,5,15,1.0,1e-05,True,427.8239825189346,0.02361107225270696,0.03776274988651634,1.6059510707855225,734,711,734
Grad,5,15,1.0,5e-05,True,769.9703589900065,0.029432495415542565,0.0502144071570829,0.8691511154174805,423,416,423
Grad,5,15,1.0,0.0001,True,747.7225426523185,0.049986347204469,0.06686941312610667,0.6798964500427246,317,313,317
Grad,5,15,1.0,0.0005,True,270.93669735411237,0.06379343821157442,0.08801809894891977,0.3691511631011963,195,193,195
Grad,5,15,1.0,0.001,True,515.0378361715015,0.08622081190919018,0.11164269518602996,0.3474434852600098,186,184,186
Grad,5,15,1.2,1e-05,True,605.6831200809675,0.02719343422850647,0.042390876660905276,2.336748218536377,1044,1004,1044
Grad,5,15,1.2,5e-05,True,632.888391910709,0.05806829412829197,0.07590726950463553,0.9668448448181153,466,459,466
Grad,5,15,1.2,0.0001,True,292.70718916491654,0.057197502538214616,0.07626467670437148,0.7449368000030517,375,370,375
Grad,5,15,1.2,0.0005,True,311.1798437779047,0.09055246353436266,0.11297399462046309,0.4515230655670166,230,227,230
Grad,5,15,1.2,0.001,True,376.9284960203969,0.1078948652987255,0.12960772836342788,0.4979221820831299,262,259,262
Grad,5,15,1.5,1e-05,True,231.01086750297864,0.05432546913482076,0.07242577103287871,1.919226884841919,950,917,950
Grad,5,15,1.5,5e-05,True,412.3341142503122,0.0875995024127795,0.10679318129038977,0.974574613571167,491,482,491
Grad,5,15,1.5,0.0001,True,5498.599758478189,0.09967745827425337,0.12161555661955412,0.8127198219299316,356,347,356
Grad,5,15,1.5,0.0005,True,269.45713650428144,0.11697715968631824,0.13878818160305081,0.7566790103912353,281,276,281
Grad,5,15,1.5,0.001,True,851.5442584490872,0.12565848965419676,0.14688649457299296,0.5361340522766114,257,254,257
Grad,5,15,1.8,1e-05,True,241.57602079101997,0.09492059078941596,0.11325600255164818,2.7658490180969237,1022,987,1022
Grad,5,15,1.8,5e-05,True,2007.2779118444787,0.11440540769591405,0.13571105224783825,1.1620038032531739,519,505,519
Grad,5,15,1.8,0.0001,True,2792.339312943429,0.11738324040495345,0.13776867120644512,0.7466774463653565,365,357,365
Grad,5,15,1.8,0.0005,True,633.7967405521135,0.1322153618311629,0.1529413961546479,0.5750460624694824,276,273,276
Grad,5,15,1.8,0.001,True,2352.837155701991,0.14336337328998366,0.16206018090077703,0.47898125648498535,218,216,218
Grad,5,25,0.2,1e-05,True,380.7592198226113,0.37016542834603794,0.7618113035476185,4.056190395355225,997,916,997
Grad,5,25,0.2,5e-05,True,381.31360925441743,0.14811926778357734,0.6965858131850338,2.33810977935791,645,598,645
Grad,5,25,0.2,0.0001,True,344.6102578272494,0.288485489230211,0.5681515666635372,3.197679853439331,741,689,741
Grad,5,25,0.2,0.0005,True,370.7504366040352,0.19167966898818695,0.4953820534373891,2.806949758529663,463,433,463
Grad,5,25,0.2,0.001,True,358.5583232419068,0.34145432496825806,0.5987921672551484,1.5015570640563964,375,351,375
Grad,5,25,0.4,1e-05,True,457.49724690984635,0.003767378550359393,0.03178857103892836,3.5230581283569338,1104,1073,1104
Grad,5,25,0.4,5e-05,True,478.6860107630706,0.007961304830602773,0.04246472099739573,1.8311893939971924,634,622,634
Grad,5,25,0.4,0.0001,True,396.0104957019913,0.01210072185574989,0.04414572449558586,1.5713742256164551,600,592,600
Grad,5,25,0.4,0.0005,True,310.4850823691848,0.01612370395396611,0.060747375962402,0.9348831176757812,366,363,366
Grad,5,25,0.4,0.001,True,408.20558595796217,0.030548312565001078,0.08385087560081952,0.696751880645752,276,274,276
Grad,5,25,0.6,1e-05,True,644.3385635257098,0.0032442314277833146,0.011199409692917764,2.6338619232177733,903,889,903
Grad,5,25,0.6,5e-05,True,458.4957951301855,0.007947377536185251,0.02082574781461465,2.0242899894714355,624,616,624
Grad,5,25,0.6,0.0001,True,585.1337488116393,0.01240258732807444,0.02966463915656926,1.6877302646636962,601,596,601
Grad,5,25,0.6,0.0005,True,340.8294702617556,0.028878030059830122,0.059983212539556255,1.1139606475830077,302,299,302
Grad,5,25,0.6,0.001,True,432.94248590733457,0.03771041817321123,0.06978649956494418,1.3163548469543458,239,238,239
Grad,5,25,0.8,1e-05,True,608.9393849790031,0.0034188286259935878,0.010824865030042716,3.2818944454193115,1063,1047,1063
Grad,5,25,0.8,5e-05,True,764.0323290813028,0.009616564541671226,0.023734093872673733,1.5702842712402343,571,565,571
Grad,5,25,0.8,0.0001,True,499.1481487580039,0.014608289564118814,0.031075731041775734,1.9699711799621582,507,502,507
Grad,5,25,0.8,0.0005,True,259.0339104165003,0.03881681387620356,0.0670932990996376,1.0156385898590088,255,254,255
Grad,5,25,0.8,0.001,True,284.5084784938406,0.06211895866599058,0.08925947550607287,0.7552464008331299,276,274,276
Grad,5,25,1.0,1e-05,True,732.4483502945128,0.005273703080250382,0.014384298849655901,4.171552610397339,1075,1058,1075
Grad,5,25,1.0,5e-05,True,393.9854734088584,0.01894421991513156,0.034297793571805034,1.5459043502807617,588,584,588
Grad,5,25,1.0,0.0001,True,801.809234357464,0.027385415488304626,0.04409247926147487,0.9685690402984619,421,417,421
Grad,5,25,1.0,0.0005,True,619.7901687935691,0.06982748739567535,0.092620454208581,0.5947847366333008,289,287,289
Grad,5,25,1.0,0.001,True,1472.2832961004021,0.08554980287948082,0.10950521063531353,0.5206890106201172,240,238,240
Grad,5,25,1.2,1e-05,True,1732.6082546062762,0.011030731654439999,0.021717947237658613,4.455686950683594,1667,1621,1667
Grad,5,25,1.2,5e-05,True,569.8203658987891,0.034014121724821586,0.048918422900197545,1.4776219367980956,523,517,523
Grad,5,25,1.2,0.0001,True,1002.2757528775015,0.04884235635218419,0.06673832972356848,1.231966781616211,454,448,454
Grad,5,25,1.2,0.0005,True,2195.769543985359,0.08740342047539051,0.10918559579964164,0.49570236206054685,231,229,231
Grad,5,25,1.2,0.001,True,2913.8905024480673,0.1017660468857062,0.12525438459014507,0.5782933712005616,271,268,271
